Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means,,,,,,
Oct-93,"78,662","124,085","45,422",,,,,,,,,
Nov-93,"83,102","121,483","38,381",,,,,,,,,
Dec-93,"125,403","133,108","7,705",,,,,,,,,
Jan-94,"122,961","107,713","-15,248",,,,,,,,,
Feb-94,"73,186","114,752","41,566",,,,,,,,,
Mar-94,"93,107","125,422","32,315",,,,,,,,,
Apr-94,"141,321","123,867","-17,454",,,,,,,,,
May-94,"83,541","115,597","32,057",,,,,,,,,
Jun-94,"138,119","123,269","-14,850",,,,,,,,,
Jul-94,"84,822","118,020","33,198",,,,,,,,,
Aug-94,"97,333","121,608","24,275",,,,,,,,,
Sep-94,"135,894","131,628","-4,266",,,,,,,,,
Oct-94,"89,098","120,441","31,343",,,,,,,,,
Nov-94,"r87,748","r124,991","r37,243",,,,,,,,,
Dec-94,"130,886","135,689","4,803",,,,,,,,,
Jan-95,"131,877","116,243","-15,634",,,,,,,,,
Feb-95,"82,620","120,977","38,357",,,,,,,,,
Mar-95,"92,608","143,152","50,544",,,,,,,,,
Apr-95,"165,472","115,751","-49,722",,,,,,,,,
May-95,"90,481","130,035","39,555",,,,,,,,,
Jun-95,"147,945","135,131","-12,813",,,,,,,,,
Jul-95,"92,823","106,406","13,582",,,,,,,,,
Aug-95,"96,640","130,489","33,849",,,,,,,,,
Sep-95,"143,298","136,107","-7,191",,,,,,,,,
Oct-95,"95,593","118,352","22,758",,,,,,,,,
Nov-95,"90,086","128,538","38,452",,,,,,,,,
Dec-95,"138,347","133,064","-5,283",,,,,,,,,
Jan-96,"142,999","123,543","-19,456",,,,,,,,,
Feb-96,"89,428","133,775","44,346",,,,,,,,,
Mar-96,"89,087","136,158","47,071",,,,,,,,,
Apr-96,"203,468","131,064","-72,404",,,,,,,,,
May-96,"90,122","143,173","53,051",,,,,,,,,
Jun-96,"151,995","117,655","-34,340",,,,,,,,,
Jul-96,"103,893","130,749","26,856",,,,,,,,,
Aug-96,"99,996","141,828","41,831",,,,,,,,,
Sep-96,"157,670","122,412","-35,257",,,,,,,,,
Oct-96,"99,656","139,461","39,805",,,,,,,,,
Nov-96,"97,850","135,728","37,878",,,,,,,,,
Dec-96,"148,488","129,999","-18,490",,,,,,,,,
Jan-97,"150,718","137,354","-13,364",,,,,,,,,
Feb-97,"90,293","134,303","44,010",,,,,,,,,
Mar-97,"108,074","129,397","21,323",,,,,,,,,
Apr-97,"228,588","134,649","-93,939",,,,,,,,,
May-97,"94,493","142,988","48,494",,,,,,,,,
Jun-97,"173,361","118,726","-54,635",,,,,,,,,
Jul-97,"109,178","134,802","25,624",,,,,,,,,
Aug-97,"103,483","138,672","35,189",,,,,,,,,
Sep-97,"174,772","r124,832","r-49,940",,,,,,,,,
Oct-97,"114,898","r150,866","r35,968",,,,,,,,,
Nov-97,"103,481","120,830","17,349",,,,,,,,,
Dec-97,"167,998","154,359","-13,639",,,,,,,,,
Jan-98,"162,610","137,231","-25,379",,,,,,,,,
Feb-98,"97,952","139,701","41,750",,,,,,,,,
Mar-98,"117,930","131,743","13,813",,,,,,,,,
Apr-98,"261,002","136,400","-124,603",,,,,,,,,
May-98,"95,278","134,057","r38,779",,,,,,,,,
Jun-98,"r187,858","r136,752","-51,106",,,,,,,,,
Jul-98,"119,723","143,807","24,084",,,,,,,,,
Aug-98,"111,741","122,907","11,166",,,,,,,,,
Sep-98,"r180,995","r143,569","r-37,425",,,,,,,,,
Oct-98,"119,974","r152,413","r32,440",,,,,,,,,
Nov-98,"113,978","r130,915","r16,937",,,,,,,,,
Dec-98,"178,646","r183,803","r5,156",,,,,,,,,
Jan-99,"r171,728","r101,223","r-70,505",,,,,,,,,
Feb-99,"r99,502","r141,839","r42,337",,,,,,,,,
Mar-99,"r130,416","r152,825","r22,409",,,,,,,,,
Apr-99,"r266,229","r152,770","-113,459",,,,,,,,,
May-99,"r98,663","r122,631","23,969",,,,,,,,,
Jun-99,"r199,507","r145,939","-53,568",,,,,,,,,
Jul-99,"r121,923","r147,086","25,164",,,,,,,,,
Aug-99,r126324,r129127,"r2,803",,,,,,,,,
Sep-99,"r200,413","r142,371","r-58,042",,,,,,,,,
Oct-99,"121,035","r147,361","r26,326",,,,,,,,,
Nov-99,"121,375","r148,406","27,031",,,,,,,,,
Dec-99,"201,196","168,114","-33,081",,,,,,,,,
Jan-00,"189,478","127,326","-62,152",,,,,,,,,
Feb-00,"108,675","150,409","41,734",,,,,,,,,
Mar-00,"135,582","170,962","35,380",,,,,,,,,
Apr-00,"r295,151","r135,653","-159,497",,,,,,,,,
May-00,"146,002","149,612","3,611",,,,,,,,,
Jun-00,"214,875","r158,986","-55,888",,,,,,,,,
Jul-00,"134,074","r129,013","-5,061",,,,,,,,,
Aug-00,"138,128","148,555","10,427",,,,,,,,,
Sep-00,"r219,490","r153,743","-65,747",,,,,,,,,
